name	shop_location	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	rating_count	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	sold	historical_sold
🔥HOT🔥 áo phông Ken Kaneki in hình đẹp-Áo Tokyo Ghoul đẹp giá rẻ thời trang nam	Hà Nội	False	None	False	1	False	1.0	[1, 1, 0, 0, 0, 0]	None	None	9900000000	-1	9900000000	-1	9900000000	0	None	1	65	1	False	True	1	0	1	1
🔥HOT🔥 áo phông Sabo One Piece in hình đẹp ⚡ FREESHIP ⚡Áo phông One Piece đẹp giá rẻ thời trang nam	Hà Nội	False	None	False	1	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	9900000000	-1	9900000000	-1	9900000000	0	None	3	8	0	False	False	1	0	0	0
áo polo Ngắn Tay Thoáng Khí Thời Trang Nam	Nước ngoài	False	50%	False	5	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	12800000000	25600000000	12800000000	25600000000	12800000000	25600000000	None	0	5	0	False	False	9	0	0	0
Hoạt Hình Áo Thun Ngắn Tay Phối Lớp Ngoài Thời Trang Nam Cá Tính	Nước ngoài	False	None	False	4	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	27930000000	-1	27930000000	-1	27930000000	0	None	0	1	0	False	False	8	0	0	0
Áo thun nam tay ngắn thiết kế họa tiết đặc biệt phông áo suông thời trang nam Liyor - BDACT4014	TP. Hồ Chí Minh	True	48%	False	4	False	4.925926	[27, 0, 0, 1, 0, 26]	None	None	9900000000	19000000000	9900000000	19000000000	9900000000	19000000000	None	1642	81	27	True	True	4	0	3	45
[ÁO LẠNH] _ Áo thun lạnh thời trang nam KA27	Hà Nội	True	None	False	4	False	5.0	[7, 0, 0, 0, 0, 7]	None	None	9900000000	-1	9900000000	-1	9900000000	0	None	1	70	7	True	False	9	0	3	17
Áo thun UNISEX (DEALSHOCK) trơn đơn giản có túi - Thời trang nam SIIBE	TP. Hồ Chí Minh	False	50%	False	3	False	5.0	[7, 0, 0, 0, 0, 7]	None	None	9900000000	19800000000	9900000000	19800000000	9900000000	19800000000	None	51	31	7	False	True	5	0	0	9
[QUÀ TĂNG]_ Áo thun cộc tay AD01 thời trang nam, chất liệu thun lạnh co giãn 4 chiều	Hà Nội	True	17%	False	3	False	4.883495	[107, 1, 1, 0, 5, 100]	None	None	2900000000	3500000000	2900000000	3500000000	2900000000	3500000000	None	21	309	107	True	False	9	0	3	242
Áo Thun Lạnh 4 Chiều Thời Trang Nam	TP. Hồ Chí Minh	False	23%	False	4	False	4.5	[8, 1, 0, 0, 0, 7]	None	None	6900000000	9000000000	6900000000	9000000000	6900000000	9000000000	None	7	75	8	False	True	6	0	1	19
Áo thun nam đẹp ngắn tay thời trang nam thiết kế cao cấp Liyor - AB023	TP. Hồ Chí Minh	True	47%	False	4	False	4.864407	[59, 1, 1, 0, 1, 56]	None	None	8490000000	16000000000	8490000000	16000000000	8490000000	16000000000	None	6471	178	59	True	True	5	1	6	122
🔥HOT🔥 áo phông ACE in hình đẹp ⚡ FREESHIP ⚡Áo thun ONEPIECE đẹp giá rẻ thời trang nam	Hà Nội	False	None	False	4	False	5.0	[4, 0, 0, 0, 0, 4]	None	None	7900000000	-1	7900000000	-1	7900000000	0	None	12	52	4	False	True	1	0	1	17
