	name	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	rating_count	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	sold	historical_sold
493	Hàng Mới - [HÀNG MỚI VỀ] _ Áo gió cao cấp thời trang nam One 3 phom 40-85kg HD3	Hà Nội	1608523537	1609771212	1247675	False	None	False	16	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	22724000000	-1	22724000000	-1	22724000000	0	None	0	0	0	False	False	9	0	0	0
494	áo phông Dota 2 in hình đẹp ⚡ FREESHIP ⚡Áo Game đẹp giá rẻ thời trang nam	Hà Nội	1606123200	1609771212	3648012	False	None	False	1	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	8910000000	-1	8910000000	-1	8910000000	0	None	0	0	0	False	False	1	0	0	0
495	Áo Khoác Bóng Chày Thời Trang Nam Cá Tính	Nước ngoài	1600851320	1609771212	8919892	False	35%	False	40	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	45870000000	70450000000	45870000000	70450000000	45870000000	70450000000	None	0	0	0	False	False	9	0	0	0
496	Áo Vest - Hàn Quốc - Thời Trang - Nam	TP. Hồ Chí Minh	1597839633	1609771212	11931579	False	None	False	8	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	49500000000	-1	49500000000	-1	49500000000	0	None	0	1	0	False	False	8	0	0	0
497	Áo Khoác Phao Cổ Đứng Thời Trang Nam	Nước ngoài	1608201349	1609771212	1569863	False	None	False	14	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	74019400000	-1	74019400000	-1	74019400000	0	None	0	1	0	False	True	9	0	0	0
498	Áo Khoác Thể Thao Khóa Kéo Thời Trang Nam 2020	Nước ngoài	1597684532	1609771212	12086680	False	50%	False	30	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	29160000000	58020000000	29160000000	58020000000	29160000000	58020000000	None	0	0	0	False	False	8	0	0	0
499	( Xả Kho ) [HÀNG MỚI VỀ] _ Áo gió 2 lớp thời trang nam AG02, phom 45-80kg LP99 DS9	Hải Dương	1608798461	1609771212	972751	False	None	False	12	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	24821200000	-1	24821200000	-1	24821200000	0	None	0	0	0	False	False	7	0	0	0
500	Áo Khoác Khóa Kéo Có Nón Thời Trang Nam	Nước ngoài	1594081460	1609771212	15689752	False	None	False	14	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	84665200000	-1	84665200000	-1	84665200000	0	None	0	0	0	False	False	8	0	0	0
501	Áo Khoác Denim Thời Trang Nam	Nước ngoài	1593570853	1609771212	16200359	False	None	False	14	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	53073700000	-1	53073700000	-1	53073700000	0	None	0	0	0	False	False	9	0	0	0
502	Áo khoác gió, áo khoác dù nam 2 lớp in hình tiếng nhật thời trang nam 2020	TP. Hồ Chí Minh	1592993384	1609771212	16777828	False	44%	False	4	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	5000000000	9000000000	17000000000	30500000000	5000000000	9000000000	None	13	0	0	False	False	7	0	0	0
503	Áo Khoác Phao Không Tay Thời Trang Nam	Nước ngoài	1605014531	1609771212	4756681	False	None	False	25	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	82857700000	-1	89888200000	-1	82857700000	0	None	0	0	0	False	False	9	0	0	0
504	áo hoodie Mobile Legends in hình đẹp ⚡ FREESHIP ⚡Áo Game đẹp giá rẻ thời trang nam	Hà Nội	1606631951	1609771212	3139261	False	None	False	5	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	17910000000	-1	17910000000	-1	17910000000	0	None	0	0	0	False	False	1	0	0	0
505	Áo Sơ Mi Tay Dài Kẻ Sọc Trẻ Trung Thời Trang Nam	Nước ngoài	1592150716	1609771212	17620496	False	None	False	14	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	65630000000	-1	65630000000	-1	65630000000	0	None	0	0	0	False	False	3	0	0	0
506	Áo cardigan len dệt kim cổ v thời trang nam sành điệu	Nước ngoài	1588079487	1609771212	21691725	False	1%	False	28	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	33300000000	33660000000	33300000000	33660000000	33300000000	33660000000	None	0	2	0	False	False	9	0	0	0
507	Áo Khoác Hoodie In Hình 3d Thời Trang Nam	Nước ngoài	1586332827	1609771212	23438385	False	None	False	8	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	35500000000	-1	35500000000	-1	35500000000	0	None	0	0	0	False	False	4	0	0	0
508	Áo Khoác Chống Nắng Nam💖FREESHIP💖Áo Khoác Dù Nam Trượt Nước Cao Cấp-Thời Trang Nam-AKDM01	TP. Hồ Chí Minh	1608816612	1609771212	954600	False	2%	False	10	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	21560000000	22000000000	21560000000	22000000000	21560000000	22000000000	None	0	0	0	False	False	7	0	0	0
509	Áo khoác nam dáng suông có mũ áo khoác thu đông thời trang nam 2020	TP. Hồ Chí Minh	1578486008	1609771212	31285204	False	None	False	8	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	43900000000	-1	43900000000	-1	43900000000	0	None	3	0	0	False	True	4	0	0	0
