category	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	five_star	four_star	three_star	two_star	one_star	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	historical_sold
Ao ngan tay khong co	TP. Hồ Chí Minh	1553157163.0	1609949428.0	56792265.0	True	29%	False	12.0	False	5.0	26.0	0.0	0.0	0.0	0.0	None	None	9900000000.0	14000000000.0	9900000000.0	14000000000.0	9900000000.0	14000000000.0	None	1084.0	103.0	26.0	True	True	5.0	1.0	62.0
Ao ngan tay khong co	Hà Nội	1584896229.0	1609949428.0	25053199.0	True	46%	False	24.0	False	4.868132	86.0	2.0	1.0	0.0	2.0	None	None	5900000000.0	10900000000.0	5900000000.0	10900000000.0	5900000000.0	10900000000.0	None	28.0	158.0	91.0	False	True	9.0	0.0	201.0
Ao ngan tay khong co	Hà Nội	1579827908.0	1609949428.0	30121520.0	True	38%	False	12.0	False	5.0	6.0	0.0	0.0	0.0	0.0	None	None	9900000000.0	15900000000.0	9900000000.0	15900000000.0	9900000000.0	15900000000.0	None	77.0	19.0	6.0	False	False	9.0	0.0	13.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1568228710.0	1609949428.0	41720718.0	True	34%	False	12.0	False	4.923076999999999	12.0	1.0	0.0	0.0	0.0	None	None	9900000000.0	15000000000.0	9900000000.0	15000000000.0	9900000000.0	15000000000.0	None	4858.0	79.0	13.0	True	True	4.0	1.0	32.0
Ao ngan tay khong co	Nước ngoài	1563176359.0	1609949428.0	46773069.0	False	50%	False	50.0	False	4.0	3.0	1.0	0.0	0.0	1.0	None	None	10000000000.0	20000000000.0	10000000000.0	20000000000.0	10000000000.0	20000000000.0	None	38.0	52.0	5.0	False	False	8.0	0.0	14.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1554648694.0	1609949428.0	55300734.0	True	39%	False	20.0	False	5.0	27.0	0.0	0.0	0.0	0.0	None	None	11500000000.0	19000000000.0	11500000000.0	19000000000.0	11500000000.0	19000000000.0	None	2997.0	103.0	27.0	True	True	5.0	1.0	62.0
Ao ngan tay khong co	Hà Nội	1591350517.0	1609949428.0	18598911.0	True	17%	False	12.0	False	4.883495	100.0	5.0	0.0	1.0	1.0	None	None	2900000000.0	3500000000.0	2900000000.0	3500000000.0	2900000000.0	3500000000.0	None	21.0	297.0	107.0	True	False	9.0	0.0	242.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1560421651.0	1609949428.0	49527777.0	True	44%	False	12.0	False	5.0	22.0	0.0	0.0	0.0	0.0	None	None	8900000000.0	16000000000.0	8900000000.0	16000000000.0	8900000000.0	16000000000.0	None	139.0	72.0	22.0	True	True	4.0	1.0	43.0
Ao ngan tay khong co	Hà Nội	1608619246.0	1609949428.0	1330182.0	False	None	False	5.0	False	0.0	0.0	0.0	0.0	0.0	0.0	None	None	9345000000.0	-1.0	9345000000.0	-1.0	9345000000.0	0.0	None	0.0	0.0	0.0	False	False	1.0	0.0	0.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1562661465.0	1609949428.0	47287963.0	True	36%	False	12.0	False	5.0	15.0	0.0	0.0	0.0	0.0	None	None	11500000000.0	18000000000.0	11500000000.0	18000000000.0	11500000000.0	18000000000.0	None	4155.0	67.0	15.0	True	True	3.0	1.0	24.0
Ao ngan tay khong co	Hà Nội	1581416959.0	1609949428.0	28532469.0	False	None	False	1.0	False	1.0	0.0	0.0	0.0	0.0	1.0	None	None	9900000000.0	-1.0	9900000000.0	-1.0	9900000000.0	0.0	None	1.0	63.0	1.0	False	True	1.0	0.0	1.0
Ao ngan tay khong co	Hà Nội	1584191631.0	1609949428.0	25757797.0	False	None	False	20.0	False	0.0	0.0	0.0	0.0	0.0	0.0	None	None	14900000000.0	-1.0	14900000000.0	-1.0	14900000000.0	0.0	None	82.0	4.0	0.0	False	False	6.0	0.0	0.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1563630920.0	1609949428.0	46318508.0	True	50%	False	16.0	False	4.947368	36.0	2.0	0.0	0.0	0.0	None	None	12500000000.0	25000000000.0	12500000000.0	25000000000.0	12500000000.0	25000000000.0	None	10252.0	178.0	38.0	True	True	6.0	1.0	81.0
Ao ngan tay khong co	Nước ngoài	1593781079.0	1609949428.0	16168349.0	False	49%	False	12.0	False	0.0	0.0	0.0	0.0	0.0	0.0	None	None	11000000000.0	21650000000.0	11000000000.0	21650000000.0	11000000000.0	21650000000.0	None	0.0	1.0	0.0	False	False	9.0	0.0	0.0
Ao ngan tay khong co	Nước ngoài	1541854056.0	1609949428.0	68095372.0	False	33%	False	7.0	False	0.0	0.0	0.0	0.0	0.0	0.0	None	None	20099900000.0	29999900000.0	20099900000.0	29999900000.0	20099900000.0	29999900000.0	None	0.0	9.0	0.0	False	False	5.0	0.0	2.0
Ao ngan tay khong co	Hà Nội	1580837257.0	1609949428.0	29112171.0	True	47%	False	15.0	False	4.874074	124.0	7.0	2.0	2.0	0.0	None	None	8500000000.0	15900000000.0	8500000000.0	15900000000.0	8500000000.0	15900000000.0	None	15.0	102.0	135.0	True	False	9.0	0.0	244.0
Ao ngan tay khong co	TP. Hồ Chí Minh	1563629317.0	1609949428.0	46320111.0	True	40%	False	16.0	False	4.913043	22.0	0.0	1.0	0.0	0.0	None	None	14900000000.0	25000000000.0	14900000000.0	25000000000.0	14900000000.0	25000000000.0	None	95.0	189.0	23.0	True	True	5.0	1.0	50.0
