category	name	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	five_star	four_star	three_star	two_star	one_star	flash_sale	upcoming_flash_sale	price_min	price_min_before_discount	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	historical_sold
Phu kien Nam	Mũ Lưỡi Trai Thời Trang Nam	Nước ngoài	1595261774	1609910398	14648624	False	50%	False	2	False	0.0	0	0	0	0	0	None	None	18480000000	36780000000	18480000000	36780000000	18480000000	36780000000	None	0	0	0	False	False	1	0	0
Phu kien Nam	NÓN KẾT ĐỤC LỖ THỜI TRANG NAM	TP. Hồ Chí Minh	1609834092	1609910398	76306	False	None	False	4	False	0.0	0	0	0	0	0	None	None	5800000000	-1	5800000000	-1	5800000000	0	None	0	0	0	False	False	2	0	0
Phu kien Nam	Nón Bóng Chày Phong Cách Hip Hop Thời Trang Nam Cá Tính	Nước ngoài	1609805100	1609910398	105298	False	20%	False	2	False	0.0	0	0	0	0	0	None	None	32220000000	40280000000	32220000000	40280000000	32220000000	40280000000	None	0	0	0	False	False	2	0	0
Phu kien Nam	Mũ Len Kèm Khăn Choàng Cổ Giữ Ấm Thời Trang Nam	Nước ngoài	1599381426	1609910398	10528972	False	20%	False	0	False	0.0	0	0	0	0	0	None	None	6400000000	8000000000	6400000000	8000000000	6400000000	8000000000	None	0	0	0	False	False	9	0	0
Phu kien Nam	Mũ nón lưỡi trai nam Ediko thời trang nam	Bình Thuận	1609856094	1609910398	54304	False	None	False	1	False	0.0	0	0	0	0	0	None	None	25000000000	-1	25000000000	-1	25000000000	0	None	0	0	0	False	False	4	0	0
Phu kien Nam	Mũ Len Beanie Giữ Ấm Thời Trang Nam	Nước ngoài	1588068936	1609910398	21841462	False	30%	False	0	False	0.0	0	0	0	0	0	None	None	3290000000	4700000000	3360000000	4800000000	3290000000	4700000000	None	0	0	0	False	False	9	0	0
Phu kien Nam	Nón kết GUESS ^oo^ Thời trang Nam {Tặng khẩu trang}	TP. Hồ Chí Minh	1509357492	1609910398	100552906	False	None	False	0	False	0.0	0	0	0	0	0	None	None	14800000000	-1	14800000000	-1	14800000000	0	None	0	0	0	False	True	9	0	0
Phu kien Nam	Nón kết ***R*** ^oo^Thời trang Nam{Tặng khẩu trang}	TP. Hồ Chí Minh	1505385700	1609910398	104524698	False	None	False	0	False	0.0	0	0	0	0	0	None	None	15800000000	-1	15800000000	-1	15800000000	0	None	0	0	0	False	True	4	0	0
Phu kien Nam	Set áo thun ngắn tay cổ tròn + quần short lưng cao thời trang nam	Nước ngoài	1575119500	1609910398	34790898	False	None	False	20	False	0.0	0	0	0	0	0	None	None	16000000000	-1	16000000000	-1	16000000000	0	None	0	0	0	False	False	3	0	0
Phu kien Nam	Mũ nón lưỡi trai nam Ediko thời trang nam	Bình Thuận	1609842913	1609910398	67485	False	None	False	1	False	0.0	0	0	0	0	0	None	None	25000000000	-1	25000000000	-1	25000000000	0	None	0	0	0	False	False	4	0	0
Phu kien Nam	Nón kết mã vạch Jackie Robinson (Mẫu 3) ^oo^ Thời trang Nam	TP. Hồ Chí Minh	1504866115	1609910398	105044283	False	None	False	0	False	0.0	0	0	0	0	0	None	None	11800000000	-1	11800000000	-1	11800000000	0	None	1	0	0	False	True	2	0	0
Phu kien Nam	Khăn quàng thời trang nam - bimi	Khánh Hòa	1609152074	1609910398	758324	False	None	False	6	False	0.0	0	0	0	0	0	None	None	10000000000	-1	30000000000	-1	10000000000	0	None	0	0	0	False	False	1	0	0
Phu kien Nam	Nón kết Fox ^oo^ Thời trang Nam {Tặng khẩu trang}	TP. Hồ Chí Minh	1504781561	1609910398	105128837	False	None	False	0	False	0.0	0	0	0	0	0	None	None	14800000000	-1	14800000000	-1	14800000000	0	None	0	0	0	False	True	4	0	0
Phu kien Nam	Mũ Lưỡi Trai Thời Trang Nam	Nước ngoài	1605621423	1609910398	4288975	False	19%	False	8	False	0.0	0	0	0	0	0	None	None	21780000000	27040000000	21780000000	27040000000	21780000000	27040000000	None	0	0	0	False	False	3	0	0
Phu kien Nam	Set 5 Cà Vạt + 1 Khuy Măng Sét + 2 Khuy Măng Sét Thời Trang Nam	Nước ngoài	1589518398	1609910398	20392000	False	None	False	4	False	0.0	0	0	0	0	0	None	None	20380000000	-1	20380000000	-1	20380000000	0	None	0	0	0	False	False	9	0	0
Phu kien Nam	Nón kết TMF (Mẫu 5) ^oo^ Thời trang Nam	TP. Hồ Chí Minh	1503487413	1609910398	106422985	False	None	False	0	False	0.0	0	0	0	0	0	None	None	7200000000	-1	7200000000	-1	7200000000	0	None	0	0	0	False	True	9	0	0
Phu kien Nam	Nón thời trang nam cao cấp logo Pm đều màu	TP. Hồ Chí Minh	1589953862	1609910398	19956536	False	None	False	5	False	0.0	0	0	0	0	0	None	None	17000000000	-1	17000000000	-1	17000000000	0	None	0	0	0	False	False	7	0	0
Phu kien Nam	Đôi Găng Tay Da Bò Phối Da Thời Trang Nam	Nước ngoài	1597321701	1609910398	12588697	False	50%	False	3	False	0.0	0	0	0	0	0	None	None	18700000000	37210000000	18840000000	37480000000	18700000000	37210000000	None	0	0	0	False	False	8	0	0
Phu kien Nam	Mũ nón lưỡi trai nam Ediko thời trang nam	Bình Thuận	1609855992	1609910398	54406	False	None	False	1	False	0.0	0	0	0	0	0	None	None	25000000000	-1	25000000000	-1	25000000000	0	None	0	0	0	False	False	4	0	0
Phu kien Nam	Mũ Lưỡi Trai Giữ Ấm Thời Trang Nam	Nước ngoài	1603955427	1609910398	5954971	False	50%	False	5	False	0.0	0	0	0	0	0	None	None	6670000000	13270000000	6810000000	13540000000	6670000000	13270000000	None	0	1	0	False	False	4	0	0
Phu kien Nam	HOT-Ví Nam Dài Cầm Tay Thời Trang Năm 2021	Hà Nội	1609834341	1609910398	76057	False	None	False	4	False	0.0	0	0	0	0	0	None	None	17500000000	-1	17500000000	-1	17500000000	0	None	0	0	0	False	False	6	0	0
Phu kien Nam	Mũ Nồi Thời Trang Nam Lịch Lãm	Nước ngoài	1584874152	1609910398	25036246	False	None	False	3	False	0.0	0	0	0	0	0	None	None	69010000000	-1	69010000000	-1	69010000000	0	None	0	0	0	False	False	8	0	0
Phu kien Nam	Nón kết NYC (Mẫu 6) ^oo^ Thời trang Nam	TP. Hồ Chí Minh	1503122502	1609910398	106787896	False	None	False	1	False	0.0	0	0	0	0	0	None	None	5500000000	-1	5500000000	-1	5500000000	0	None	2	1	0	False	True	2	0	0
Phu kien Nam	Nón kết AZ (Mẫu 2) ^oo^ Thời trang Nam [Tặng khẩu trang]	TP. Hồ Chí Minh	1503056560	1609910398	106853838	False	None	False	0	False	0.0	0	0	0	0	0	None	None	18000000000	-1	18000000000	-1	18000000000	0	None	0	0	0	False	True	4	0	0
Phu kien Nam	Găng Tay Lái Xe Giữ Ấm Thời Trang Nam	Nước ngoài	1575594942	1609910398	34315456	False	None	False	10	False	0.0	0	0	0	0	0	None	None	18020000000	-1	20670000000	-1	18020000000	0	None	0	0	0	False	False	9	0	0
Phu kien Nam	Nón kết NY (Mẫu 13) ^oo^ Thời trang Nam	TP. Hồ Chí Minh	1502880160	1609910398	107030238	False	None	False	1	False	0.0	0	0	0	0	0	None	None	5200000000	-1	5200000000	-1	5200000000	0	None	0	0	0	False	True	1	0	0
Phu kien Nam	Nơ Đeo Cổ Họa Tiết Ngôi Sao Thời Trang Nam	Nước ngoài	1609742125	1609910398	168273	False	None	False	1	None	0.0	0	0	0	0	0	None	None	33800000000	-1	33800000000	-1	33800000000	0	None	0	0	0	False	False	3	0	0
Phu kien Nam	Mũ nón lưỡi trai nam Ediko thời trang nam	Bình Thuận	1609840082	1609910398	70316	False	None	False	1	False	0.0	0	0	0	0	0	None	None	25000000000	-1	25000000000	-1	25000000000	0	None	0	0	0	False	False	4	0	0
Phu kien Nam	Mũ Lưỡi Trai In Chữ Guava Qi Thời Trang Nam	Nước ngoài	1606300175	1609910398	3610223	False	None	False	4	False	0.0	0	0	0	0	0	None	None	31070000000	-1	31070000000	-1	31070000000	0	None	0	0	0	False	False	8	0	0
Phu kien Nam	Nón Kết Thêu Chữ Thời Trang Nam	Nước ngoài	1593667596	1609910398	16242802	False	49%	False	2	False	0.0	0	0	0	0	0	None	None	20806400000	40796900000	20806400000	40796900000	20806400000	40796900000	None	0	0	0	False	False	7	0	0
Phu kien Nam	Mũ Lưỡi Trai Denim Thời Trang Nam	Nước ngoài	1598021424	1609910398	11888974	False	None	False	11	False	0.0	0	0	0	0	0	None	None	14870000000	-1	14870000000	-1	14870000000	0	None	0	0	0	False	False	7	0	0
Phu kien Nam	Nón kết thời trang nam cao cấp Pm bo sau	TP. Hồ Chí Minh	1597824728	1609910398	12085670	False	None	False	3	False	0.0	0	0	0	0	0	None	None	19000000000	-1	19000000000	-1	19000000000	0	None	581	5	0	False	False	4	0	0
Phu kien Nam	Nón Len Thời Trang Nam	Nước ngoài	1609683360	1609910398	227038	True	50%	False	8	False	0.0	0	0	0	0	0	None	None	3290000000	6540000000	3290000000	6540000000	3290000000	6540000000	None	0	0	0	False	False	9	0	0
Phu kien Nam	Mũ nón lưỡi trai nam Ediko thời trang nam	Bình Thuận	1609840269	1609910398	70129	False	None	False	1	False	0.0	0	0	0	0	0	None	None	25000000000	-1	25000000000	-1	25000000000	0	None	0	0	0	False	False	4	0	0
Phu kien Nam	Mũ Beret Len Thời Trang Nam	Nước ngoài	1594888796	1609910398	15021602	False	50%	False	3	False	0.0	0	0	0	0	0	None	None	10810000000	21500000000	10810000000	21500000000	10810000000	21500000000	None	2	0	0	False	False	5	0	0
Phu kien Nam	Mũ Nam Nữ,Nón Bucket Thời Trang Nam,Nón Bucket,nón tai bèo,Nón Bucket nam nữ rộng vành Đen N035	TP. Hồ Chí Minh	1567609442	1609910398	42300956	False	50%	False	1	False	0.0	0	0	0	0	0	None	None	3000000000	6000000000	3000000000	6000000000	3000000000	6000000000	None	0	0	0	False	False	6	0	0
Phu kien Nam	Mũ Lưỡi Trai Dạng Lưới Thời Trang Nam	Nước ngoài	1597792966	1609910398	12117432	False	30%	False	4	False	0.0	0	0	0	0	0	None	None	14000000000	19990000000	14000000000	19990000000	14000000000	19990000000	None	0	0	0	False	False	7	0	0
