category_id	name	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	five_star	four_star	three_star	two_star	one_star	flash_sale	upcoming_flash_sale	price_min	price_min_before_discount	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	historical_sold
8947	Áo thun phông Unisex nam nữ 2 màu Trắng Đen tay ngắn cổ tròn dáng ôm phối cực cá tính - V107	TP. Hồ Chí Minh	1607316973	1609949428	2632455	True	39%	False	8	False	5.0	4	0	0	0	0	None	None	14900000000	24500000000	14900000000	24500000000	14900000000	24500000000	None	7	1048	4	True	False	8	0	18
8947	Áo Thun Trơn Nam [FREESHIP] Áo phông nam tay ngắn 100% cotton Trắng Đen dáng ôm vừa vặn AT01	TP. Hồ Chí Minh	1596338054	1609949428	13611374	True	49%	False	35	False	4.947977	166	5	2	0	0	None	None	10900000000	10900000000	10900000000	21500000000	10900000000	10900000000	None	109	10540	173	True	False	9	0	526
8947	[SALE 50%] - Áo Thun Nam Cổ Tròn Cao Cấp ( nhiều màu) Tay Ngắn, chất cotton bề mặt vải mềm Mịn cực hot	TP. Hồ Chí Minh	1603987674	1609949428	5961754	True	50%	False	48	False	4.8854169999999995	89	4	2	1	0	None	None	4950000000	9900000000	4950000000	9900000000	4950000000	9900000000	None	25	4025	96	True	False	9	0	431
8947	Áo thun nam unisex 100% cotton basic Trắng Đen áo phông co giãn cao cấp dáng rộng dễ phối đồ - V69	TP. Hồ Chí Minh	1596082707	1609949428	13866721	True	39%	False	8	False	5.0	66	0	0	0	0	None	None	14900000000	24500000000	14900000000	24500000000	14900000000	24500000000	None	85	4551	66	True	False	7	0	141
8947	🔥XẢ HÀNG🔥 Áo đôi - áo cặp nam nữ dễ thương cực HOT	Hà Nội	1590391265	1609949428	19558163	False	None	False	10	False	4.6875	27	1	3	1	0	None	None	7200000000	-1	7200000000	-1	7200000000	0	None	128	3613	32	False	False	1	0	158
8947	Áo Thun Nam Không Tay Chất Liệu Mau Khô Phong Cách Hàn Quốc Áo Ngắn Sleeveless áo ba lỗ croptop Thời trang nam	Nước ngoài	1590547102	1609949428	19402326	False	29%	False	10	False	4.655172	25	1	1	1	1	None	None	5000000000	7000000000	5000000000	7000000000	5000000000	7000000000	None	37	402	29	False	False	9	0	70
8947	Áo Phông Thời Trang Nam	Bình Định	1557082427	1609949428	52867001	False	None	False	7	False	5.0	2	0	0	0	0	None	None	9800000000	-1	9800000000	-1	9800000000	0	None	1243	27	2	False	True	4	0	2
8947	Áo thun lạnh cổ tròn nam thời trang nam 036, phom 40-75kg.	Hà Nội	1591847956	1609949428	18101472	True	17%	False	15	False	4.94152	167	4	1	0	1	None	None	2900000000	3500000000	2900000000	3500000000	2900000000	3500000000	None	28	1077	173	True	False	9	0	350
8947	Áo thun nam đẹp ngắn tay thời trang nam thiết kế cao cấp Liyor - AB023	TP. Hồ Chí Minh	1564976068	1609949428	44973360	True	47%	False	20	False	4.864407	56	1	0	1	1	None	None	8490000000	16000000000	8490000000	16000000000	8490000000	16000000000	None	6471	198	59	True	True	5	1	124
8947	Áo thun nam FREESHIP áo phông cổ tròn thun cotton cao cấp thời trang nam Liyor - TBDACT4016	TP. Hồ Chí Minh	1562678957	1609949428	47270471	True	45%	False	20	False	4.9259260000000005	26	0	1	0	0	None	None	9380000000	17000000000	9380000000	17000000000	9380000000	17000000000	None	8015	112	27	True	True	6	1	65
8947	thời trang nam ÁO THUN CỔ TRÒN NGẮN TAY CAO CẤP	Hà Nội	1585651573	1609949428	24297855	False	None	False	3	False	5.0	1	0	0	0	0	None	None	1000000000	-1	5000000000	-1	1000000000	0	None	0	6	1	False	False	1	0	13
8947	[Nhiều Màu] Áo Thun Thời Trang Nam Áo Phông nam Cổ Tròn Ngắn Tay VNXK Cao Cấp TUTO5_AT02	Hà Nội	1603527281	1609949428	6422147	True	30%	False	33	False	5.0	6	0	0	0	0	None	None	17500000000	25000000000	17500000000	25000000000	17500000000	25000000000	None	32	120	6	False	False	9	0	27
8947	⚡Rẻ vô đich ⚡Áo thun unisex | áo in hình chữ Tàu thời trang nam đẹp giá rẻ	Hà Nội	1580560305	1609949428	29389123	False	None	False	5	False	4.857143	6	1	0	0	0	None	None	7900000000	-1	7900000000	-1	7900000000	0	None	16	255	7	False	True	1	0	15
8947	🔥HOT🔥 áo phông Naruto in hình đẹp ⚡Áo Sasuke Uchiha đẹp giá rẻ thời trang nam	Hà Nội	1581416958	1609949428	28532470	False	None	False	5	False	4.25	2	1	1	0	0	None	None	7900000000	-1	7900000000	-1	7900000000	0	None	6	95	4	False	True	1	0	18
8947	[HÀNG MỚI NHẤT] _ Áo thun thời trang nam cổ tròn vân B2, phom 40-75kg	Hà Nội	1583199037	1609949428	26750391	True	30%	False	21	False	4.5	7	2	0	1	0	None	None	6900000000	9900000000	6900000000	9900000000	6900000000	9900000000	None	3	95	10	True	True	9	0	28
8947	[FREESHIP COD ]Áo Phông Thời Trang Nam PD1 ,2 Màu Đen-Trắng	Hà Nội	1597195407	1609949428	12754021	False	None	False	14	False	5.0	1	0	0	0	0	None	None	17900000000	-1	17900000000	-1	17900000000	0	None	0	0	1	False	False	5	0	52
8947	[FREESHIP COD ]ÁO Thun Thời Trang Nam Cổ Tròn PFAM1 ,2 Màu Đen- Trắng	Hà Nội	1597195530	1609949428	12753898	False	None	False	14	False	5.0	1	0	0	0	0	None	None	17900000000	-1	17900000000	-1	17900000000	0	None	0	0	1	False	False	5	0	43
8947	Áo thun in chữ công nghệ cao thời trang nam phom 40-80kg kynn shop	Hà Nội	1572840338	1609949428	37109090	True	43%	False	12	False	4.904458999999999	298	8	5	0	3	None	None	6900000000	12000000000	6900000000	12000000000	6900000000	12000000000	None	129	188	314	True	True	5	0	643
8947	[SALE GIÁ GỐC] 🔥FLASH SALE🔥 Áo thun Marine hải quân One Piece đep thời trang nam giá rẻ	Hà Nội	1598031622	1609949428	11917806	False	None	False	1	False	0.0	0	0	0	0	0	None	None	8800000000	-1	8800000000	-1	8800000000	0	None	0	14	0	False	False	1	0	1
8947	Áo phông cổ tròn thiết kế cao cấp thời trang nam Liyor - TAB062	TP. Hồ Chí Minh	1553157163	1609949428	56792265	True	29%	False	12	False	5.0	26	0	0	0	0	None	None	9900000000	14000000000	9900000000	14000000000	9900000000	14000000000	None	1084	103	26	True	True	5	1	62
8947	Áo thun thời trang nam A37, phom 40-80kg	Hà Nội	1584896229	1609949428	25053199	True	46%	False	24	False	4.868132	86	2	1	0	2	None	None	5900000000	10900000000	5900000000	10900000000	5900000000	10900000000	None	28	158	91	False	True	9	0	201
8947	Áo thun thời trang nam chất liệu vải thun lỗ kim thoáng mát, Mã 30	Hà Nội	1579827908	1609949428	30121520	True	38%	False	12	False	5.0	6	0	0	0	0	None	None	9900000000	15900000000	9900000000	15900000000	9900000000	15900000000	None	77	19	6	False	False	9	0	13
8947	Áo thun nam cổ tròn in hình độc đáo chất liệu thun cotton cao cấp thời trang nam Liyor - TATCT3004	TP. Hồ Chí Minh	1568228710	1609949428	41720718	True	34%	False	12	False	4.923076999999998	12	1	0	0	0	None	None	9900000000	15000000000	9900000000	15000000000	9900000000	15000000000	None	4858	79	13	True	True	4	1	32
8947	korean idol nct iKON wanna one  super junior thời trang nam siêu trẻ giả hai T  áo thun nam  T-shirt  fake two shirt man	Nước ngoài	1563176359	1609949428	46773069	False	50%	False	50	False	4.0	3	1	0	0	1	None	None	10000000000	20000000000	10000000000	20000000000	10000000000	20000000000	None	38	52	5	False	False	8	0	14
8947	Áo phông thiết kế chữ độc đáo thời trang nam Liyor - TDATCT4001	TP. Hồ Chí Minh	1554648694	1609949428	55300734	True	39%	False	20	False	5.0	27	0	0	0	0	None	None	11500000000	19000000000	11500000000	19000000000	11500000000	19000000000	None	2997	103	27	True	True	5	1	62
