name	shop_location	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	rating_count	flash_sale	upcoming_flash_sale	price_min	price_min_before_discoun	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	sold	historical_sold
Quần dài (DEALSHOCK) nam jogger nỉ dày dặn dây kéo túi - Thời trang nam SIIBE	TP. Hồ Chí Minh	False	50%	False	3	False	5.0	[3, 0, 0, 0, 0, 3]	None	None	17500000000	35000000000	17500000000	35000000000	17500000000	35000000000	None	964	44	3	False	True	4	0	0	4
Sale 🥑ｓốｃ | ĐẲNG CẤP |_ Quần Bò thời trang nam- quần bò DSQ cao cấp -- Siêu Đẹp M09 🥑 ⚡ .	Hà Nội	False	20%	False	5	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	18864400000	23580500000	18864400000	23580500000	18864400000	23580500000	None	0	0	0	False	False	1	0	0	0
Quần kaki 1 khóa gối nữ,quần dài kaki nam,quần kaki bo gấu,Quần thời trang nam	TP. Hồ Chí Minh	True	50%	False	1	False	4.285714	[7, 1, 0, 0, 1, 5]	None	None	8000000000	16000000000	8000000000	16000000000	8000000000	16000000000	None	25	34	7	False	True	4	1	0	28
Đơn thời trang nam 240k	TP. Hồ Chí Minh	False	None	False	1	False	5.0	[4, 0, 0, 0, 0, 4]	None	None	24000000000	-1	24000000000	-1	24000000000	0	None	0	0	4	False	False	1	0	0	10
Quần tây thời trang nam, dáng côn vải tuyết mưa cao cấp (BAO TEST 30 ngày sử dụng)	Hà Nội	True	45%	False	7	False	5.0	[5, 0, 0, 0, 0, 5]	None	None	9900000000	18000000000	9900000000	18000000000	9900000000	18000000000	None	4	37	5	False	True	9	1	0	21
Quần Dài Có Túi Thời Trang Nam Năng Động	Nước ngoài	False	48%	False	6	False	0.0	[0, 0, 0, 0, 0, 0]	None	None	25860000000	49470000000	25860000000	49470000000	25860000000	49470000000	None	0	0	0	False	False	6	0	0	0
Quần Âu Thời Trang Nam Cao Cấp Bateno Siêu Hot QA01	Hà Nội	True	41%	False	6	False	5.0	[3, 0, 0, 0, 0, 3]	None	None	9900000000	16700000000	9900000000	16700000000	9900000000	16700000000	None	825	17	3	False	True	9	1	1	4
[ROUTINE] quần jean nam rách gối xanh nhạt chính hãng thời trang nam Routine	Hà Nội	False	None	False	6	True	5.0	[4, 0, 0, 0, 0, 4]	None	None	49900000000	-1	49900000000	-1	49900000000	0	None	102	62	4	False	True	6	1	0	8
Đơn thời trang nam 230k	TP. Hồ Chí Minh	False	None	False	1	False	4.428571	[7, 1, 0, 0, 0, 6]	None	None	23000000000	-1	23000000000	-1	23000000000	0	None	2	10	7	False	False	8	0	0	11
Free ship 50 _Quần tây Hàn Quốc vải cotton mềm mịn [Thời Trang Nam]	Hà Nội	True	47%	False	7	False	4.6	[5, 0, 0, 1, 0, 4]	None	None	9500000000	17800000000	9500000000	17800000000	9500000000	17800000000	None	5	27	5	False	True	6	1	0	10
Quần Thể Thao Ống Dài Size Lớn Thời Trang Nam Năng Động M-2xl	Nước ngoài	False	48%	False	4	False	5.0	[2, 0, 0, 0, 0, 2]	None	None	12570000000	24160000000	12570000000	24160000000	12570000000	24160000000	None	6	70	2	False	False	6	0	1	6
Kaki Thời Trang Nam, Quần Dáng Slim, trẻ trung, lịch sự, giá rẻ, chất vải mềm, mặc thoải mái	Hà Nội	False	45%	False	11	False	5.0	[2, 0, 0, 0, 0, 2]	None	None	21900000000	40000000000	23900000000	40000000000	21900000000	40000000000	None	0	7	2	False	True	9	1	0	50
