category	name	shop_location	item_public_time	item_be_got_time	sell_time	shopee_verified	discount	is_adult	options	show_official_shop_label_in_title	rating_star	five_star	four_star	three_star	two_star	one_star	flash_sale	upcoming_flash_sale	price_min	price_min_before_discount	price_max	price_max_before_discount	price	price_before_discount	coin_earn_label	liked_count	view_count	cmt_count	is_preferred_plus_seller	show_free_shipping	images	video_info_list	historical_sold
Ao so mi	Áo Sơ Mi Nam Kẻ Caro,  Sơ Mi Unisex Dáng rộng Thời Trang Nam MANDO  - ACB40	Hà Nội	1554884231	1609949438	55065207	True	18%	False	12	False	4.9	28	1	1	0	0	None	None	28800000000	35000000000	28800000000	35000000000	28800000000	35000000000	None	5176	489	30	False	True	8	1	66
Ao so mi	Áo Sơ mi nam trắng tay dài dáng ôm, vải lụa thái trơn không nhăn [Thời Trang Nam]	Hà Nội	1516951436	1609949438	92998002	True	40%	False	45	False	4.727273	28	3	1	0	1	None	None	8800000000	14750000000	8800000000	14750000000	8800000000	14750000000	None	5815	149	33	False	True	8	1	169
Ao so mi	Đồ đi chùa _ Xéo nam đi chùa_ thời trang nam mới _ đơn giản sang trọng thanh lịch	TP. Hồ Chí Minh	1593411437	1609949438	16538001	True	None	False	48	False	4.7647059999999986	14	2	1	0	0	None	None	18500000000	-1	18500000000	-1	18500000000	0	None	19	202	17	False	False	9	0	65
Ao so mi	[Thời Trang Nam] Sơ mi nam dài tay Hàn Quốc body chống nhăn	Hà Nội	1574263022	1609949438	35686416	True	47%	False	35	False	5.0	50	0	0	0	0	None	None	7900000000	15000000000	7900000000	15000000000	7900000000	15000000000	None	16	120	50	True	True	7	0	1568
Ao so mi	Áo sơ mi nam dài tay Hàn Quốc form body, vải lụa Thái co giãn, chống nhăn [Thời Trang Nam]	Hà Nội	1574263022	1609949438	35686416	True	47%	False	35	False	4.969697	32	1	0	0	0	None	None	7900000000	15000000000	7900000000	15000000000	7900000000	15000000000	None	2	73	33	True	True	9	0	1110
Ao so mi	Áo sơ mi caro flanel Mando có mũ form dáng rộng thời trang Nam phong cách Hàn Quốc SMD067	Hà Nội	1602213965	1609949438	7735473	True	14%	False	4	False	5.0	9	0	0	0	0	None	None	32500000000	38000000000	32500000000	38000000000	32500000000	38000000000	None	7	595	9	False	False	5	1	11
Ao so mi	[𝐍𝐡𝐢𝐞̂̀𝐮 𝐌𝐚̀𝐮] Áo sơ mi DENIM thời trang nam l Sơ mi nam CAO CẤP phong cách nam tính_Size 48-75kg	Hà Nội	1595931935	1609949438	14017503	True	28%	False	20	False	4.977778	44	1	0	0	0	None	None	18000000000	25000000000	18000000000	25000000000	18000000000	25000000000	None	63	417	45	False	True	9	1	106
Ao so mi	Áo cotton lanh ngắn tay thời trang nam	Nước ngoài	1562624211	1609949438	47325227	True	10%	False	24	False	4.071429	9	2	0	1	2	None	None	13230000000	14700000000	13230000000	14700000000	13230000000	14700000000	None	41	164	14	False	True	9	0	59
Ao so mi	Áo Sơ Mi Nam trắng dài tay Hàn Quốc form body, vải lụa Thái chống nhăn [Thời Trang Nam] SP1	Hà Nội	1580532391	1609949438	29417047	True	29%	False	20	False	4.733333	14	0	0	0	1	None	None	7900000000	11200000000	7900000000	11200000000	7900000000	11200000000	None	4297	68	15	False	False	8	0	72
Ao so mi	Áo Sơ Mi Nam họa tiết dài tay Hàn Quốc form body [Thời Trang Nam] - SM75	Hà Nội	1496230115	1609949438	113719323	True	34%	False	8	False	4.858447	404	20	6	2	6	None	None	3900000000	5900000000	3900000000	5900000000	3900000000	5900000000	None	411	188	478	False	True	8	0	1164
Ao so mi	[Ảnh thật ở sau] Áo sơ mi nam trơn vải thô phối túi có nắp đồ unisex đôi nam nữ thời trang nam đồ nam chất lượng	TP. Hồ Chí Minh	1587829794	1609949438	22119644	False	None	False	24	False	0.0	0	0	0	0	0	None	None	23900000000	-1	23900000000	-1	23900000000	0	None	2	84	0	False	True	8	0	2
Ao so mi	Áo sơ mi dài tay thời trang nam phong cách hàn quốc xuân thu	Nước ngoài	1566876540	1609949438	43072898	False	None	False	75	False	0.0	0	0	0	0	0	None	None	16300000000	-1	16300000000	-1	16300000000	0	None	10	5	0	False	False	7	0	5
Ao so mi	Áo sơ mi nam kẻ sọc đen cotton hàng Quảng Châu thấm hút mồ hôi tốt dễ dàng giặt sạch - thời trang nam cao cấp - 398(Đ)	TP. Hồ Chí Minh	1597912472	1609949438	12036966	True	24%	False	7	False	4.942857	34	0	1	0	0	None	None	14900000000	19500000000	14900000000	19500000000	14900000000	19500000000	None	9	320	35	True	False	2	1	90
Ao so mi	Áo Sơ Mi Form Rộng Dài Tay 3 Màu In Chữ Phong Cách Hàn Quốc Thời Trang Nam MANDO SMD030	Hà Nội	1588838037	1609949438	21111401	True	14%	False	8	False	4.9259260000000005	25	2	0	0	0	None	None	29900000000	34900000000	29900000000	34900000000	29900000000	34900000000	None	3059	426	27	False	True	9	1	83
Ao so mi	Sơ mi DSQ mix khóa ở bả vai - Áo sơ mi DSQ thời trang nam - Sơ mi trắng dsq có khóa	Hà Nội	1598147168	1609949438	11802270	True	None	False	4	False	0.0	0	0	0	0	0	None	None	20000000000	-1	20000000000	-1	20000000000	0	None	2	60	0	False	False	3	0	0
Ao so mi	Áo sơ mi denim NPV thời trang nam,áo sơ mi nam cao cấp phong cách nam tính 5 màu	Hà Nội	1604661992	1609949438	5287446	True	47%	False	25	False	5.0	1	0	0	0	0	None	None	15900000000	30000000000	15900000000	30000000000	15900000000	30000000000	None	1	118	1	False	False	9	0	5
Ao so mi	Áo Sơ mi nam dài tay dáng ôm Lupo (Xanh coban) [Thời Trang Nam]	Hà Nội	1546502457	1609949438	63446981	True	13%	False	45	False	4.828125	57	5	1	0	1	None	None	12900000000	14900000000	12900000000	14900000000	12900000000	14900000000	None	2010	57	64	False	True	8	0	204
Ao so mi	Áo Sơ Mi Nam PURATO chất liệu Oxford tay dài áo cao cấp dáng xuất Châu Âu nam tính, thời trang, lịch lãm[Thời Trang Nam]	Hà Nội	1551927689	1609949438	58021749	True	24%	False	24	False	4.5454550000000005	60	8	3	3	3	None	None	17900000000	23500000000	17900000000	23500000000	17900000000	23500000000	None	2040	188	77	False	True	9	0	219
Ao so mi	Áo sơ mi nam trơn tay dài, dáng ôm slimfit, phong cách Thời trang nam Hàn Quốc	Hà Nội	1568099436	1609949438	41850002	True	45%	False	35	False	4.870968	27	4	0	0	0	None	None	6900000000	12500000000	6900000000	12500000000	6900000000	12500000000	None	2725	75	31	False	True	9	1	1181
